dataset,landslide,type,soil_texture_idx,PGA2_max,x,y,predicted_susceptibility
training,0.0,Undifferentiated,7,0.24854639172554016,-44.78058,33.78999,0.10531820356845856
training,0.0,Sandy Clay Loam,7,0.313102126121521,-2.6408408,-29.968779,0.11413953453302383
training,0.0,Undifferentiated,7,0.1728852242231369,-46.23258,-18.943205,0.14457453787326813
training,0.0,Undifferentiated,11,0.1903575211763382,71.22135,-21.531763,0.06487482786178589
training,0.0,Undifferentiated,11,0.2684473693370819,67.373276,-19.32796,0.07436863332986832
training,0.0,Sandy Clay Loam,7,0.3509599268436432,14.707969,-64.378174,0.12403484433889389
training,0.0,Sandy Clay Loam,7,0.2901535928249359,21.795597,-43.8575,0.24412913620471954
training,0.0,Undifferentiated,7,0.16858425736427307,-56.705166,-21.837685,0.20377296209335327
training,0.0,Sandy Clay Loam,7,0.2917373478412628,6.22685,-58.482914,0.09598878771066666
training,0.0,Sandy Clay Loam,11,0.22526304423809052,53.72542,-35.479992,0.416970819234848
training,0.0,Sandy Clay Loam,7,0.40942639112472534,19.234686,-76.05723,0.1169627383351326
training,0.0,Undifferentiated,7,0.11274883151054382,-23.062056,-3.3522816,0.13074256479740143
training,0.0,Sandy Clay Loam,7,0.3287423849105835,-3.153444,-65.35782,0.4199261963367462
training,0.0,Sandy Clay Loam,7,0.34685617685317993,26.01422,-52.077248,0.13756898045539856
training,0.0,Undifferentiated,7,0.13400359451770782,-50.188103,-21.46233,0.15775719285011292
training,0.0,Undifferentiated,11,0.15608739852905273,30.520058,-12.882139,0.13209804892539978
training,0.0,Sandy Clay Loam,7,0.4232674837112427,20.902645,-57.13292,0.20383764803409576
training,0.0,Undifferentiated,11,0.23724204301834106,69.03916,-22.84394,0.06116054579615593
training,0.0,Undifferentiated,7,0.19189271330833435,-71.6128,-7.7012753,0.1316457837820053
training,0.0,Sandy Clay Loam,7,0.32602089643478394,-8.124252,-66.829124,0.29753386974334717
training,0.0,Undifferentiated,7,0.2537374794483185,-43.016777,36.08958,0.07585806399583817
training,0.0,Sandy Clay Loam,7,0.3673655092716217,-4.4132323,-37.31048,0.07082051783800125
training,0.0,Undifferentiated,7,0.29544955492019653,-47.079346,33.857323,0.1243114173412323
training,0.0,Undifferentiated,7,0.19630300998687744,-70.72096,-0.5482668,0.3691142201423645
training,0.0,Undifferentiated,7,0.2104455828666687,-8.453919,-10.68186,0.057269174605607986
training,0.0,Sandy Clay Loam,7,0.3610914349555969,3.0727217,33.042263,0.05460142716765404
training,0.0,Undifferentiated,7,0.37463852763175964,-51.69404,43.538418,0.04438566789031029
training,0.0,Sandy Clay Loam,7,0.21136696636676788,-14.641762,-2.3355074,0.3395973742008209
training,0.0,Sandy Clay Loam,7,0.36185261607170105,5.8091826,-63.53994,0.4912804961204529
